   ID  , Start   ,End ,     64-bit S-E ,     k     ,     l      ,intv 
id-0014,23,50,98784247858,81093128,3555405219,3
id-0014,24,69,103079215173,203565841,1124003118,4
id-0014,24,70,103079215174,203565842,2102401484,3
id-0014,11,40,47244640296,4149776361,4082541752,3
id-0014,21,48,90194313264,5230636171,946274902,5
id-0014,0,48,48,1037990042,946274905,2
id-0014,22,49,94489280561,3151751097,2050741028,3
id-0014,21,49,90194313265,5230636174,2050741028,2
id-0014,23,50,98784247858,81093128,3555405219,3
id-0014,22,50,94489280562,3151751097,3555405219,2
id-0014,25,51,107374182451,527595253,2638517152,334
id-0014,25,52,107374182452,527595259,802023975,328
id-0014,28,53,120259084341,3554787732,289006477,60
id-0014,28,54,120259084342,3554787738,1890015955,54
id-0014,32,58,137438953530,191194032,5325645133,10
id-0014,32,59,137438953531,191194033,4276772989,7
id-0014,37,60,158913790012,789286118,5612993720,6
id-0014,37,69,158913790021,789286118,1124003117,5
id-0014,24,70,103079215174,203565842,2102401484,3
id-0014,24,75,103079215179,203565842,4244773808,2
id-0015,0,20,20,2499474612,3510276942,1
id-0015,33,53,141733920821,5481399284,3547983201,1
id-0015,53,73,227633266761,4698105442,3685984568,1
id-0015,0,29,29,2499474612,2136871715,1
id-0015,30,60,128849018940,3698457575,2441481298,1
id-0015,30,76,128849018956,3698457575,4016258958,1
id-0015,65535,0,281470681743360,0,0,0
id-0016,0,20,20,2040461139,4179103005,1
id-0016,20,40,85899345960,1244790305,3577996216,1
id-0016,40,60,171798691900,3756721659,5010484007,1
id-0016,0,76,76,2040461139,2326163558,1
id-0016,38,57,163208757305,3688890849,2091549588,2
id-0017,0,75,75,3337874825,3979988902,974
id-0017,0,76,76,3337874936,2669720283,861
id-0017,65535,0,281470681743360,0,0,0
id-0018,0,20,20,1280382531,649473746,1
id-0018,20,40,85899345960,3662028281,1525966475,1
id-0018,40,60,171798691900,4419516371,3680889199,1
id-0018,0,76,76,1280382531,2645576458,1
id-0018,65535,0,281470681743360,0,0,0
id-0019,0,39,39,2464447552,3855734118,4
id-0019,0,45,45,2464447552,639317714,3
id-0019,4,55,17179869239,2447176541,3185055380,3
id-0019,2,55,8589934647,2832989487,3185055380,1
id-0019,9,63,38654705727,3275168356,240434575,3
id-0019,4,63,17179869247,2447176543,240434575,1
id-0019,10,72,42949673032,676601542,5500296035,2
id-0019,9,72,38654705736,3275168356,5500296035,1
id-0019,16,74,68719476810,2423581862,1314905297,2
id-0019,22,75,94489280587,4343532537,433534072,2
id-0019,10,75,42949673035,676601542,433534072,1
id-0019,38,76,163208757324,2585174003,1921049236,2
id-0019,27,76,115964117068,6036361700,1921049237,1
id-0019,1,35,4294967331,2537618273,3965229545,9
id-0019,1,36,4294967332,2537618273,4008253749,8
id-0019,0,36,36,2464447551,4008253752,5
id-0019,2,39,8589934631,2832989482,3855734116,7
id-0019,1,39,4294967335,2537618274,3855734116,6
id-0019,2,40,8589934632,2832989482,3981349869,6
id-0019,1,40,4294967336,2537618274,3981349869,5
id-0019,3,45,12884901933,5020029185,639317713,7
id-0019,2,45,8589934637,2832989483,639317713,5
id-0019,10,55,42949673015,676601537,3185055380,10
id-0019,9,55,38654705719,3275168353,3185055380,7
id-0019,10,56,42949673016,676601539,938887508,8
id-0019,9,56,38654705720,3275168355,938887508,5
id-0019,12,59,51539607611,1189210748,1582112761,7
id-0019,10,59,42949673019,676601540,1582112761,6
id-0019,12,63,51539607615,1189210749,240434575,6
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,16,65,68719476801,2423581860,5240818853,6
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,17,68,73014444100,2368569329,1127498662,5
id-0019,1,39,4294967335,2537618274,3855734116,6
id-0019,0,39,39,2464447552,3855734118,4
id-0019,2,45,8589934637,2832989483,639317713,5
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,10,56,42949673016,676601539,938887508,8
id-0019,9,56,38654705720,3275168355,938887508,5
id-0019,10,58,42949673018,676601539,5286322682,7
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,12,63,51539607615,1189210749,240434575,6
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,10,65,42949673025,676601541,5240818854,4
id-0019,17,68,73014444100,2368569329,1127498662,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,22,69,94489280581,4343532536,3372280221,5
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,1,39,4294967335,2537618274,3855734116,6
id-0019,0,39,39,2464447552,3855734118,4
id-0019,2,45,8589934637,2832989483,639317713,5
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,10,58,42949673018,676601539,5286322682,7
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,12,63,51539607615,1189210749,240434575,6
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,10,65,42949673025,676601541,5240818854,4
id-0019,17,68,73014444100,2368569329,1127498662,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,22,69,94489280581,4343532536,3372280221,5
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,25,70,107374182470,5662651443,3847568536,6
id-0019,25,72,107374182472,5662651443,5500296034,5
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,27,74,115964117066,6036361694,1314905296,7
id-0019,25,74,107374182474,5662651443,1314905297,4
id-0019,27,75,115964117067,6036361695,433534071,6
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,0,45,45,2464447552,639317714,3
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,4,58,17179869242,2447176542,5286322682,2
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,9,68,38654705732,3275168356,1127498664,2
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,10,72,42949673032,676601542,5500296035,2
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,16,74,68719476810,2423581862,1314905297,2
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,22,75,94489280587,4343532537,433534072,2
id-0019,1,39,4294967335,2537618274,3855734116,6
id-0019,0,39,39,2464447552,3855734118,4
id-0019,2,45,8589934637,2832989483,639317713,5
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,10,58,42949673018,676601539,5286322682,7
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,12,63,51539607615,1189210749,240434575,6
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,10,65,42949673025,676601541,5240818854,4
id-0019,17,68,73014444100,2368569329,1127498662,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,22,69,94489280581,4343532536,3372280221,5
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,25,72,107374182472,5662651443,5500296034,5
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,27,74,115964117066,6036361694,1314905296,7
id-0019,25,74,107374182474,5662651443,1314905297,4
id-0019,31,75,133143986251,5019714235,433534071,7
id-0019,27,75,115964117067,6036361695,433534071,6
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,0,45,45,2464447552,639317714,3
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,4,58,17179869242,2447176542,5286322682,2
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,9,68,38654705732,3275168356,1127498664,2
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,10,72,42949673032,676601542,5500296035,2
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,16,74,68719476810,2423581862,1314905297,2
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,22,75,94489280587,4343532537,433534072,2
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,0,45,45,2464447552,639317714,3
id-0019,9,55,38654705719,3275168353,3185055380,7
id-0019,4,55,17179869239,2447176541,3185055380,3
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,9,63,38654705727,3275168356,240434575,3
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,25,74,107374182474,5662651443,1314905297,4
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,27,75,115964117067,6036361695,433534071,6
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,0,45,45,2464447552,639317714,3
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,4,58,17179869242,2447176542,5286322682,2
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,9,68,38654705732,3275168356,1127498664,2
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,10,72,42949673032,676601542,5500296035,2
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,16,74,68719476810,2423581862,1314905297,2
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,22,75,94489280587,4343532537,433534072,2
id-0019,38,76,163208757324,2585174003,1921049236,2
id-0019,9,55,38654705719,3275168353,3185055380,7
id-0019,4,55,17179869239,2447176541,3185055380,3
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,9,63,38654705727,3275168356,240434575,3
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,25,74,107374182474,5662651443,1314905297,4
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,27,75,115964117067,6036361695,433534071,6
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,9,55,38654705719,3275168353,3185055380,7
id-0019,4,55,17179869239,2447176541,3185055380,3
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,9,63,38654705727,3275168356,240434575,3
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,25,74,107374182474,5662651443,1314905297,4
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,27,75,115964117067,6036361695,433534071,6
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,47,76,201863462988,1669402784,1921049231,50
id-0019,46,76,197568495692,2244259329,1921049236,45
id-0019,1,45,4294967341,2537618275,639317713,4
id-0019,0,45,45,2464447552,639317714,3
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,4,58,17179869242,2447176542,5286322682,2
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,9,68,38654705732,3275168356,1127498664,2
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,10,72,42949673032,676601542,5500296035,2
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,16,74,68719476810,2423581862,1314905297,2
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,22,75,94489280587,4343532537,433534072,2
id-0019,38,76,163208757324,2585174003,1921049236,2
id-0019,10,63,42949673023,676601541,240434575,5
id-0019,9,63,38654705727,3275168356,240434575,3
id-0019,12,65,51539607617,1189210749,5240818854,5
id-0019,16,68,68719476804,2423581862,1127498663,4
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,17,69,73014444101,2368569329,3372280221,4
id-0019,22,72,94489280584,4343532536,5500296034,4
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,25,74,107374182474,5662651443,1314905297,4
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,27,75,115964117067,6036361695,433534071,6
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,47,76,201863462988,1669402784,1921049231,50
id-0019,46,76,197568495692,2244259329,1921049236,45
id-0019,9,58,38654705722,3275168355,5286322682,4
id-0019,4,58,17179869242,2447176542,5286322682,2
id-0019,10,68,42949673028,676601542,1127498664,3
id-0019,9,68,38654705732,3275168356,1127498664,2
id-0019,16,72,68719476808,2423581862,5500296034,3
id-0019,10,72,42949673032,676601542,5500296035,2
id-0019,22,74,94489280586,4343532536,1314905297,3
id-0019,16,74,68719476810,2423581862,1314905297,2
id-0019,25,75,107374182475,5662651444,433534072,3
id-0019,22,75,94489280587,4343532537,433534072,2
id-0019,46,76,197568495692,2244259329,1921049236,45
id-0019,38,76,163208757324,2585174003,1921049236,2
id-0020,20,40,85899345960,5145238941,3811579277,10
id-0020,0,30,30,5369787079,3745060029,2
id-0020,0,76,76,5369787079,678165786,1
id-0020,1,21,4294967317,3578637838,1092732172,102
id-0020,0,21,21,5369786991,1092732172,94
id-0020,1,22,4294967318,3578637839,3364769190,97
id-0020,0,22,22,5369786992,3364769190,89
id-0020,2,27,8589934619,2157780175,3558046669,3
id-0020,10,30,42949672990,5273702526,3745060027,5
id-0020,2,30,8589934622,2157780175,3745060029,3
id-0020,11,32,47244640288,3288146672,1199299024,6
id-0020,10,32,42949672992,5273702526,1199299024,4
id-0020,12,35,51539607587,745231573,4873401775,4
id-0020,11,35,47244640291,3288146675,4873401775,3
id-0020,14,36,60129542180,2234590122,4196870650,30
id-0020,12,36,51539607588,745231573,4196870674,3
id-0020,17,40,73014444072,3946403902,3811579281,3
id-0020,18,46,77309411374,3732645480,1094545560,3
id-0020,14,46,60129542190,2234590150,1094545560,2
id-0020,24,50,103079215154,5365260113,3019053093,19
id-0020,23,50,98784247858,2926752038,3019053094,18
id-0020,24,51,103079215155,5365260114,3766433454,8
id-0020,23,51,98784247859,2926752039,3766433455,7
id-0020,27,54,115964117046,1108739247,1532647724,3
id-0020,25,54,107374182454,3565310119,1532647725,2
id-0020,31,59,133143986235,5942963578,3850700872,3
id-0020,34,60,146028888124,898640964,3978897405,9
id-0020,34,61,146028888125,898640964,5500634004,8
id-0020,27,61,115964117053,1108739247,5500634005,2
id-0020,35,69,150323855429,3053576100,3949490941,4
id-0020,36,72,154618822728,5870192929,3854130925,7
id-0020,34,72,146028888136,898640966,3854130925,3
id-0020,36,73,154618822729,5870192929,3980721776,5
id-0020,34,73,146028888137,898640966,3980721776,2
id-0020,37,74,158913790026,5057405925,1209652778,4
id-0020,36,74,154618822730,5870192932,1209652778,2
id-0021,0,20,20,406543121,3450499777,1
id-0021,20,40,85899345960,1219777176,1162032388,1
id-0021,40,60,171798691900,5564784086,2667576415,1
id-0021,0,75,75,406543121,2567243622,1
id-0021,65535,0,281470681743360,0,0,0
id-0022,0,20,20,4011924269,3302389305,1
id-0022,20,40,85899345960,739253570,1990084355,1
id-0022,40,60,171798691900,4246642680,3052840892,1
id-0022,0,76,76,4011924269,3599051555,1
id-0022,29,48,124554051632,4010427240,2434277877,2
id-0022,31,50,133143986226,3833310876,5017620690,3
id-0022,29,50,124554051634,4010427240,5017620690,2
id-0023,0,20,20,2666225526,2442911334,1
id-0023,20,40,85899345960,369432679,2557309223,1
id-0023,40,60,171798691900,2624108080,769634646,1
id-0023,0,76,76,2666225526,1616011253,1
id-0023,65535,0,281470681743360,0,0,0
id-0024,0,20,20,2539327756,4038807445,1
id-0024,20,40,85899345960,678085581,1135725104,1
id-0024,40,60,171798691900,628850108,2853837830,1
id-0024,0,76,76,2539327756,4031292989,1
id-0024,65535,0,281470681743360,0,0,0
id-0025,0,20,20,3207258740,2650643156,1
id-0025,20,40,85899345960,2011606527,5482732774,1
id-0025,40,60,171798691900,1285917245,2090953161,2
id-0025,0,75,75,3207258740,4023773185,1
id-0025,37,56,158913790008,2304787961,2344503109,2
id-0026,0,20,20,4213021861,4873234010,3
id-0026,20,40,85899345960,788773723,2010107219,3
id-0026,40,60,171798691900,5524076689,3969325358,3
id-0026,0,73,73,4213021861,4324328566,3
id-0026,0,75,75,4213021862,2159676062,2
id-0026,0,55,55,4213021861,5126730595,3
id-0026,0,73,73,4213021861,4324328566,3
id-0027,0,20,20,1562952083,2328319947,1
id-0027,20,40,85899345960,2771454816,5310414415,1
id-0027,40,60,171798691900,3514444104,3580710837,1
id-0027,0,76,76,1562952083,3648014032,1
id-0027,65535,0,281470681743360,0,0,0
id-0028,0,20,20,1099729407,5017073926,1
id-0028,20,40,85899345960,3563848630,2443783945,1
id-0028,40,60,171798691900,3274244557,3309269583,1
id-0028,0,76,76,1099729407,3692474021,1
id-0028,22,41,94489280553,1088200908,2441230030,2
id-0028,27,47,115964117039,2673533289,1134665537,2
id-0028,27,48,115964117040,2673533289,3373922484,2
id-0029,35,55,150323855415,2106794557,4984043528,2
id-0029,11,33,47244640289,2111674060,3734039006,1
id-0029,11,34,47244640290,2111674060,3946795587,1
id-0029,19,38,81604378662,735582860,3002110193,1
id-0029,20,39,85899345959,2341261657,3763138899,1
id-0029,21,40,90194313256,2065371869,1135214170,2
id-0029,32,51,137438953523,2316062558,2569826052,1
id-0029,35,57,150323855417,2106794557,3725151297,2
id-0029,35,64,150323855424,2106794557,3945114128,1
id-0029,52,72,223338299464,3846118950,2352375797,3
id-0029,52,73,223338299465,3846118950,4990829316,2
id-0029,51,73,219043332169,5457001302,4990829316,1
id-0029,35,56,150323855416,2106794557,2821629629,2
id-0029,35,57,150323855417,2106794557,3725151297,2
id-0030,0,20,20,1344693034,6147833520,1
id-0030,20,40,85899345960,736315546,1860863755,1
id-0030,40,60,171798691900,2562075174,2758188636,1
id-0030,0,76,76,1344693034,1423461098,1
id-0030,31,51,133143986227,3054863619,4823210136,2
id-0030,31,52,133143986228,3054863619,5794697832,2
id-0030,37,56,158913790008,5972369388,4508807025,2
id-0031,0,57,57,2140324935,3592558059,4
id-0031,0,58,58,2140324938,2640664554,1
id-0031,1,55,4294967351,1247626727,1610207463,17
id-0031,0,55,55,2140324931,1610207467,12
id-0031,1,56,4294967352,1247626731,2228873414,12
id-0031,0,56,56,2140324935,2228873417,8
id-0031,2,57,8589934649,4104268881,3592558041,22
id-0031,1,57,4294967353,1247626732,3592558057,6
id-0031,3,58,12884901946,4370358064,2640664547,8
id-0031,2,58,8589934650,4104268896,2640664548,7
id-0031,1,56,4294967352,1247626731,2228873414,12
id-0031,0,56,56,2140324935,2228873417,8
id-0031,1,57,4294967353,1247626732,3592558057,6
id-0031,0,57,57,2140324935,3592558059,4
id-0031,2,58,8589934650,4104268896,2640664548,7
id-0031,1,58,4294967354,1247626736,2640664553,2
id-0032,0,20,20,793919733,2114528199,1
id-0032,20,40,85899345960,3657780584,1196585569,1
id-0032,40,60,171798691900,3371635098,3707698955,1
id-0032,0,75,75,793919733,5252680509,1
id-0032,35,54,150323855414,1105042474,3380021884,2
id-0033,0,20,20,390360337,3896795515,1
id-0033,20,40,85899345960,5034514173,2934194037,1
id-0033,40,60,171798691900,3546841713,2709268558,1
id-0033,0,76,76,390360337,170703853,1
id-0033,24,43,103079215147,3890529766,5398833883,2
id-0033,28,47,120259084335,1213356867,2854841849,2
id-0034,0,20,20,2665823323,2676265285,1
id-0034,20,40,85899345960,2207977444,5365783301,1
id-0034,40,60,171798691900,732241362,2106567947,1
id-0034,0,75,75,2665823323,3852838201,1
id-0034,65535,0,281470681743360,0,0,0
id-0035,0,20,20,4930079249,2324783530,1
id-0035,20,40,85899345960,4147671298,5027994217,1
id-0035,40,60,171798691900,3976165537,3318841098,1
id-0035,0,75,75,4930079249,5269273122,1
id-0035,25,46,107374182446,128086033,5131824253,2
id-0035,25,47,107374182447,128086033,2865128734,2
id-0035,35,54,150323855414,1209743133,6041214716,3
id-0036,0,20,20,3827893475,938974108,1
id-0036,20,40,85899345960,5021875960,5425344104,1
id-0036,40,60,171798691900,3727720842,1080015094,1
id-0036,0,75,75,3827893475,5219926615,1
id-0036,65535,0,281470681743360,0,0,0
id-0037,0,20,20,2308577884,3623592877,1
id-0037,20,40,85899345960,1533641652,5278110899,1
id-0037,40,60,171798691900,944267423,1895195684,1
id-0037,0,75,75,2308577884,3834128459,1
id-0037,65535,0,281470681743360,0,0,0
id-0038,0,75,75,3882429401,1151170694,4458
